street,lat,lon,mean_score,max_score,segments,impact_score
Кайнар СТ,43.185153,76.964722,2.0475213675213677,3.3,1,2.0475213675213677
Приканальная а/д БАК,43.313188,77.041626,2.005128205128205,2.82,1,2.005128205128205
Думан,43.289202,77.03064,1.9463247863247863,2.86,1,1.9463247863247863
улица 5-я,43.305194,77.008667,1.8211965811965813,2.8,1,1.8211965811965813
Индустриальная улица,43.321181,76.821899,1.8147008547008547,3.19,1,1.8147008547008547
улица Батырхана Шукенова,43.185153,76.898804,1.7951376146788989,3.47,1,1.7951376146788989
улица Ходжанова,43.20918,76.90979,1.747094017094017,2.75,1,1.747094017094017
ПК Жигер,43.329174,77.052612,1.7396581196581196,2.16,1,1.7396581196581196
Орынтай,43.305194,77.041626,1.714957264957265,2.13,1,1.714957264957265
улица Бурабай,43.289202,77.041626,1.6976923076923076,2.19,1,1.6976923076923076
улица Рустемова,43.257206,76.832886,1.6894871794871793,3.07,1,1.6894871794871793
улица Кашаубаева,43.297198,77.03064,1.6734188034188033,2.51,1,1.6734188034188033
улица Жангир Хана,43.193163,76.920776,1.6670940170940172,3.87,1,1.6670940170940172
улица Ушконыр,43.185153,76.854858,1.666068376068376,2.13,1,1.666068376068376
улица Иле,43.265206,77.052612,1.6622935779816514,2.51,1,1.6622935779816514
улица Аханова,43.265206,76.821899,1.6570940170940172,2.86,1,1.6570940170940172
улица Банковая,43.193163,76.964722,1.6427350427350427,2.04,1,1.6427350427350427
улица Мойынкум,43.177141,76.898804,1.6400934579439252,2.29,1,1.6400934579439252
Ауэзовский район,43.20918,76.854858,1.6214529914529916,2.01,1,1.6214529914529916
проспект Суюнбая,43.345155,76.920776,1.6213636363636363,2.44,1,1.6213636363636363
улица Бауыржана Момышулы,43.257206,76.821899,1.6126495726495726,2.94,1,1.6126495726495726
проспект Ермека Серкебаева,43.201172,76.898804,1.6044347826086955,2.44,1,1.6044347826086955
улица Солнечная,43.185153,76.953735,1.5852991452991454,1.74,1,1.5852991452991454
улица Макатаева,43.289202,76.931763,1.5813684210526315,3.5,1,1.5813684210526315
улица Мурат,43.185153,76.90979,1.5765811965811967,2.11,1,1.5765811965811967
улица Жеруйык,43.297198,77.019653,1.5736752136752137,2.52,1,1.5736752136752137
улица Уразбаевой,43.273206,76.986694,1.5693162393162394,1.89,1,1.5693162393162394
улица Советская,43.169129,76.920776,1.5675213675213675,1.99,1,1.5675213675213675
Дарын,43.193163,76.865845,1.5603571428571428,2.9,1,1.5603571428571428
Аскартау микрорайон,43.201172,76.931763,1.5554700854700856,3.02,1,1.5554700854700856
улица Рахмадиева,43.193163,76.90979,1.5534188034188035,1.94,1,1.5534188034188035
улица Новая,43.193163,76.854858,1.5505982905982905,1.9,1,1.5505982905982905
улица Кенесары Хана,43.177141,76.865845,1.5497435897435896,1.92,1,1.5497435897435896
улица Аскара Кунаева,43.193163,76.898804,1.546578947368421,1.99,1,1.546578947368421
улица Кайсенова,43.20918,76.986694,1.5450427350427351,2.07,1,1.5450427350427351
улица Жантурина,43.201172,76.854858,1.544017094017094,1.9,1,1.544017094017094
Зердели микрорайон,43.281204,76.821899,1.53469696969697,2.33,1,1.53469696969697
улица Акбидай,43.377105,77.019653,1.5252991452991453,2.21,1,1.5252991452991453
улица Бердыбаева,43.257206,77.008667,1.5194871794871796,2.5,1,1.5194871794871796
улица Какимбека Салыкова,43.169129,76.90979,1.5188034188034187,2.68,1,1.5188034188034187
улица Еркин,43.281204,77.03064,1.5187179487179487,1.67,1,1.5187179487179487
улица Султангазина,43.20918,77.008667,1.5186324786324787,1.86,1,1.5186324786324787
улица Фурманова,43.289202,76.975708,1.517982456140351,2.56,1,1.517982456140351
Yellow Lemon Path,43.201172,77.008667,1.516068376068376,1.74,1,1.516068376068376
улица Обсерватория,43.177141,76.964722,1.5158695652173915,1.99,1,1.5158695652173915
улица Валиханова,43.329174,77.063599,1.5158407079646017,1.95,1,1.5158407079646017
улица Омирхана Байконырова,43.265206,76.832886,1.5131958762886597,2.07,1,1.5131958762886597
улица Жаяу Муса,43.305194,76.986694,1.5111111111111113,1.89,1,1.5111111111111113
Илийский район,43.377105,76.920776,1.50875,1.76,1,1.50875
Первомайская промзона,43.369119,76.90979,1.5075,1.75,1,1.5075
Турксибский район,43.345155,77.008667,1.505128205128205,2.1,1,1.505128205128205
улица Ондасынова,43.201172,76.997681,1.5038461538461538,1.75,1,1.5038461538461538
улица Ажибай батыра,43.169129,76.975708,1.5035042735042734,1.63,1,1.5035042735042734
улица Жандосова,43.201172,76.865845,1.5027472527472527,1.75,1,1.5027472527472527
17-ші сызба көшесі,43.313188,76.997681,1.5025641025641026,1.8,1,1.5025641025641026
Алатауская трасса,43.337165,77.063599,1.502470588235294,1.71,1,1.502470588235294
улица Бухтарминская,43.313188,77.03064,1.502087912087912,1.69,1,1.502087912087912
Центральная улица,43.377105,76.90979,1.5013888888888889,1.57,1,1.5013888888888889
улица Ладушкина,43.193163,76.975708,1.50008547008547,1.51,1,1.50008547008547
улица Ермек,43.177141,76.821899,1.5,1.5,1,1.5
