segment_id,lat,lon,mean_score,max_score,street,cluster
z15_x23391_y12013,43.217187,76.986694,1.5287179487179487,2.17,проспект Аль-Фараби,1
z15_x23391_y12014,43.20918,76.986694,1.5450427350427351,2.07,улица Кайсенова,1
z15_x23391_y12017,43.185153,76.986694,1.5698290598290596,2.7,Медеуский район,1
z15_x23391_y12019,43.169129,76.986694,1.5172649572649572,1.61,Медеуский район,1
z15_x23392_y12000,43.321181,76.997681,1.5,1.5,Северное кольцо,1
z15_x23392_y12001,43.313188,76.997681,1.5025641025641026,1.8,17-ші сызба көшесі,1
z15_x23392_y12008,43.257206,76.997681,2.4876923076923076,3.64,улица Сарсенбаева,0
z15_x23392_y12009,43.249204,76.997681,1.6606837606837608,2.87,проспект Абая,1
z15_x23392_y12011,43.233197,76.997681,1.5255555555555556,2.03,проспект Аль-Фараби,1
z15_x23392_y12013,43.217187,76.997681,1.5059803921568629,2.11,проспект Аль-Фараби,1
z15_x23392_y12015,43.201172,76.997681,1.5038461538461538,1.75,улица Ондасынова,1
z15_x23392_y12016,43.193163,76.997681,1.5037606837606838,1.58,улица Керей-Жанибек хандар,1
z15_x23392_y12017,43.185153,76.997681,1.6745299145299144,2.13,улица Керей-Жанибек хандар,1
z15_x23393_y11997,43.345155,77.008667,1.505128205128205,2.1,Турксибский район,1
z15_x23393_y12002,43.305194,77.008667,1.8211965811965813,2.8,улица 5-я,0
z15_x23393_y12003,43.297198,77.008667,2.0774358974358975,3.43,улица Хмельницкого,0
z15_x23393_y12008,43.257206,77.008667,1.5194871794871796,2.5,улица Бердыбаева,1
z15_x23393_y12011,43.233197,77.008667,1.5,1.5,проспект Аль-Фараби,1
z15_x23393_y12012,43.225193,77.008667,1.5,1.5,проспект Аль-Фараби,1
z15_x23393_y12014,43.20918,77.008667,1.5186324786324787,1.86,улица Султангазина,1
z15_x23393_y12015,43.201172,77.008667,1.516068376068376,1.74,Yellow Lemon Path,1
z15_x23393_y12019,43.169129,77.008667,1.5316239316239315,2.06,Медеуский район,1
z15_x23394_y11993,43.377105,77.019653,1.5252991452991453,2.21,улица Акбидай,1
z15_x23394_y12002,43.305194,77.019653,1.5209230769230768,1.96,Кульджинский тракт,1
z15_x23394_y12003,43.297198,77.019653,1.5736752136752137,2.52,улица Жеруйык,1
z15_x23394_y12009,43.249204,77.019653,1.5081395348837208,2.2,Медеуский район,1
z15_x23394_y12011,43.233197,77.019653,1.5376068376068377,1.73,проспект Аль-Фараби,1
z15_x23394_y12012,43.225193,77.019653,1.5772649572649573,1.75,проспект Аль-Фараби,1
z15_x23394_y12013,43.217187,77.019653,1.5500854700854703,1.74,проспект Аль-Фараби,1
z15_x23394_y12019,43.169129,77.019653,1.505897435897436,1.9,улица Керей-Жанибек хандар,1
z15_x23395_y12000,43.321181,77.03064,1.503529411764706,1.68,Северное кольцо,1
z15_x23395_y12001,43.313188,77.03064,1.502087912087912,1.69,улица Бухтарминская,1
z15_x23395_y12003,43.297198,77.03064,1.6734188034188033,2.51,улица Кашаубаева,1
z15_x23395_y12004,43.289202,77.03064,1.9463247863247863,2.86,Думан,0
z15_x23395_y12005,43.281204,77.03064,1.5187179487179487,1.67,улица Еркин,1
z15_x23395_y12007,43.265206,77.03064,3.372991452991453,3.5,Талгарский район,0
z15_x23395_y12008,43.257206,77.03064,1.8985470085470084,3.75,Талгарский район,0
z15_x23395_y12014,43.20918,77.03064,1.6818803418803419,1.9,Медеуский район,1
z15_x23396_y11993,43.377105,77.041626,1.8111965811965811,2.85,Талгарский район,0
z15_x23396_y11994,43.369119,77.041626,1.5073684210526317,1.97,Талгарский район,1
z15_x23396_y11999,43.329174,77.041626,3.451880341880342,3.5,Северное кольцо,0
z15_x23396_y12000,43.321181,77.041626,2.083076923076923,3.26,Северное кольцо,0
z15_x23396_y12001,43.313188,77.041626,2.005128205128205,2.82,Приканальная а/д БАК,0
z15_x23396_y12002,43.305194,77.041626,1.714957264957265,2.13,Орынтай,1
z15_x23396_y12004,43.289202,77.041626,1.6976923076923076,2.19,улица Бурабай,1
z15_x23396_y12007,43.265206,77.041626,1.5,1.5,Талгарский район,1
z15_x23396_y12014,43.20918,77.041626,1.6656410256410257,2.17,Медеуский район,1
z15_x23396_y12019,43.169129,77.041626,1.500940170940171,1.61,улица Керей-Жанибек хандар,1
z15_x23397_y11993,43.377105,77.052612,1.5840170940170941,2.01,Талгарский район,1
z15_x23397_y11994,43.369119,77.052612,1.694017094017094,1.98,Zakarpatskaya street,1
z15_x23397_y11995,43.361132,77.052612,1.868034188034188,2.29,Zakarpatskaya street,0
z15_x23397_y11997,43.345155,77.052612,1.7775213675213675,2.22,Кульджинский тракт,1
z15_x23397_y11998,43.337165,77.052612,2.0828205128205126,2.96,Талгарский район,0
z15_x23397_y11999,43.329174,77.052612,1.7396581196581196,2.16,ПК Жигер,1
z15_x23397_y12004,43.289202,77.052612,1.6613675213675214,1.99,улица Чехова,1
z15_x23397_y12007,43.265206,77.052612,1.6622935779816514,2.51,улица Иле,1
z15_x23397_y12013,43.217187,77.052612,1.5203418803418802,1.94,Медеуский район,1
z15_x23397_y12014,43.20918,77.052612,1.5267521367521366,2.44,Медеуский район,1
z15_x23398_y11994,43.369119,77.063599,1.5753488372093023,2.61,Zakarpatskaya street,1
z15_x23398_y11998,43.337165,77.063599,1.502470588235294,1.71,Алатауская трасса,1
z15_x23398_y11999,43.329174,77.063599,1.5158407079646017,1.95,улица Валиханова,1
z15_x23398_y12004,43.289202,77.063599,1.5179487179487179,2.09,улица Майлина,1
z15_x23398_y12005,43.281204,77.063599,1.5,1.5,улица Чехова,1
z15_x23398_y12008,43.257206,77.063599,1.5,1.5,Талгарский район,1
z15_x23398_y12010,43.241201,77.063599,1.577094017094017,2.63,Талгарский район,1
z15_x23398_y12017,43.185153,77.063599,1.628974358974359,1.97,Медеуский район,1
z15_x23399_y12004,43.289202,77.074585,1.7104273504273504,2.49,улица Майлина,1
z15_x23399_y12009,43.249204,77.074585,1.5,1.5,Талгарский район,1
z15_x23399_y12010,43.241201,77.074585,1.5769230769230769,1.99,Талгарский район,1
z15_x23399_y12011,43.233197,77.074585,1.5102564102564102,1.82,Талгарский район,1
z15_x23399_y12016,43.193163,77.074585,1.5063247863247864,1.58,Медеуский район,1
z15_x23399_y12017,43.185153,77.074585,2.183076923076923,2.82,Бутаковка улица,0
z15_x23399_y12018,43.177141,77.074585,1.5,1.5,Бутаковка улица,1
z15_x23399_y12019,43.169129,77.074585,1.541196581196581,2.34,Медеуский район,1
